file_name,root_note,chord_type,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11
0000.wav,C,maj,0.06205876,1.1282138,1.014157,0.57452786,0.72244436,0.5338905,0.08772074,0.003917772,0.068786845,1.579352,0.5170994,0.11548784
0001.wav,C,maj/3,0.8009349,0.7659196,0.84791046,-0.12394589,0.6222076,0.2732427,0.062715694,-0.40899375,-0.22150363,1.4661838,1.0922594,-0.33640128
0002.wav,C,maj/5,0.63751316,0.22590694,1.2566729,0.33919734,0.53454393,0.36233562,0.79149485,0.06718068,-0.21420433,1.3717382,0.6333643,-0.44714245
0003.wav,C#,maj,0.080209784,0.2549098,0.8714716,-0.36777312,-1.1971792,-0.042367607,0.6765754,-0.40447417,-0.18115655,-0.31993994,0.356842,-1.4375851
0004.wav,C#,maj/3,1.2639283,-0.23689124,0.32576287,-0.16322847,-0.6455747,-0.014225498,0.6371213,-0.21002634,-0.4046653,-0.7394452,1.1955184,-0.9996034
0005.wav,C#,maj/5,0.4765377,-0.08672721,0.6400158,0.19358726,-0.7169079,-0.035081163,0.8940493,0.040373195,-0.690175,-1.1096925,0.4886118,-1.0985719
0006.wav,D,maj,-0.47247183,0.15791804,-0.42938048,-0.4162274,-0.8700882,-0.41083807,0.3339743,-0.39364406,-0.8174611,-0.5255028,-1.055179,-0.81501544
0007.wav,D,maj/3,-0.5618806,0.04716786,-0.34492326,-0.34026873,-1.0097032,-0.39955723,0.71504664,-0.038255285,-0.55520225,-0.6271655,-1.0936905,-0.61129135
0008.wav,D,maj/5,-0.83993304,-0.6973283,-0.4450236,-0.7053934,-1.5934554,0.014033124,0.87010366,-0.08169769,-0.0049909055,-0.7780945,-0.84795475,-0.7306686
0009.wav,D#,maj,-0.25846124,0.24980533,-0.0437223,0.32805592,0.4269209,0.72945356,-0.47895288,-0.18470198,0.48966265,1.329846,-0.034684278,0.6168374
0010.wav,D#,maj/3,-0.8685349,0.5724499,-0.43811417,0.26748997,-0.14357682,0.7220413,-0.585109,-0.16219318,0.45830154,1.5325171,0.45934758,1.2468171
0011.wav,D#,maj/5,-0.7935425,-0.24123192,-0.9238189,-1.0924089,-0.75171137,0.8226307,-0.3183564,-0.47433254,0.94505554,1.365719,-0.19317916,1.1635573
0012.wav,E,maj,-1.840011,0.38216007,0.677087,1.0816283,-1.7164153,-1.1189924,-0.7231655,0.8552591,0.62967545,0.58359236,1.495932,0.002683349
0013.wav,E,maj/3,-1.2649839,0.41392916,0.7930055,0.52716315,-0.8597257,-1.0096518,-0.021452963,0.49636558,0.28106195,0.4450462,0.9061947,-0.21202233
0014.wav,E,maj/5,-1.8555337,0.26259765,-0.35510096,1.1313058,-0.59194803,-1.1839194,-0.40027213,0.8739812,0.6908635,0.9009849,1.0689394,0.36066034
0015.wav,F,maj,1.0007473,-0.1674217,0.0059369802,-0.25713134,-1.1318083,0.23457702,0.26938272,-0.7146588,0.14662205,0.5867888,0.91580355,-1.343936
0016.wav,F,maj/3,1.350145,-0.6981985,-0.016355902,-0.78269774,-0.6219287,0.5195254,0.40216202,-0.82262814,-0.098626286,0.57271993,0.1266827,-0.61110103
0017.wav,F,maj/5,1.4372395,0.1343925,0.21425214,-0.88357407,-1.18898,0.42017514,-0.1342298,-1.3145967,-0.57173854,0.43914023,0.99068356,-0.81565875
0018.wav,F#,maj,0.3516444,0.6986752,0.51272774,0.82524073,0.20946597,-0.48557842,0.2919808,0.19693004,-1.0092384,-0.7714838,-1.3607899,-0.2884667
0019.wav,F#,maj/3,-0.05177918,0.5173131,0.5315124,0.7037564,-0.13140735,-0.22312342,0.2176596,0.0012405026,-0.82523936,-0.6996794,-1.3300194,-0.7323435
0020.wav,F#,maj/5,-0.017056465,0.8613951,0.81631196,1.423055,0.15365036,-0.49895197,0.6340592,0.25227174,-0.96468675,-1.055316,-1.1528257,-0.5728518
0021.wav,G,maj,2.1526437,1.2821841,2.1683936,0.32334274,2.160322,0.5954613,0.91322446,0.028781611,-0.3841126,-0.44917613,-2.1861384,0.54833174
0022.wav,G,maj/3,1.9445403,0.4733795,1.1325693,-1.1152432,1.1151307,-0.034909487,0.93535304,0.4890359,0.41010588,-0.7046267,-1.6330255,1.9342451
0023.wav,G,maj/5,1.4373949,1.0441035,2.77833,0.22988494,2.0769856,0.4549057,1.6756274,0.17743416,1.1147308,0.33070898,-2.2116528,1.3037639
0024.wav,G#,maj,1.0226208,-1.1047376,1.2685592,-0.39618504,-0.5382724,-0.4714434,-0.09647973,0.4962843,0.52562046,0.0066594556,0.38891304,-0.74406004
0025.wav,G#,maj/3,0.7982259,-1.5491784,0.5615391,0.03011693,-0.4709317,-0.2963323,0.7203436,0.50869983,1.0281733,1.0136099,0.68926895,-0.60866684
0026.wav,G#,maj/5,-0.10785939,-0.71398246,0.62696815,0.21570443,-1.021396,-0.358595,0.23724161,0.70912355,1.4927868,0.9459253,0.93316185,0.28910816
0027.wav,A,maj,-1.9940687,0.4239641,-0.47181392,1.0262814,-1.1457134,-0.88255066,-0.88826776,0.27540806,0.8430457,0.030347474,1.2173402,-0.35056308
0028.wav,A,maj/3,-0.6953795,0.51318115,-0.5295777,0.6204355,-0.60121566,-0.5774816,-0.3531456,-0.3715428,-0.2384618,-0.044421725,0.76408565,-0.78781223
0029.wav,A,maj/5,-1.9377748,0.43903697,-0.68309885,0.9782242,-1.0602926,-0.94223595,-0.7339216,0.21661325,0.85718596,0.06484694,1.1354377,-0.4286665
0030.wav,A#,maj,0.9786694,-0.7129091,0.13351834,-1.2025828,-0.3494808,0.62290245,-0.29883516,-0.68749714,-0.2019427,-0.13939723,-0.68543124,0.47290102
0031.wav,A#,maj/3,0.2683516,-0.5258074,-1.036022,-2.0506575,-0.86516947,1.9757537,0.97409606,-1.0114454,0.39574277,0.6155285,-0.43324894,0.38016418
0032.wav,A#,maj/5,0.3938025,-0.9035763,-1.932544,-2.5466647,-1.2303953,1.938166,1.0150068,-0.09520106,1.7508092,0.42164135,-0.76942,1.8134269
0033.wav,B,maj,0.4586823,0.5031629,-0.3718992,-0.05771984,0.62001085,-0.61842734,0.49265385,0.33611798,0.13864729,0.714413,-0.726593,0.034699492
0034.wav,B,maj/3,0.6315792,0.52221024,-0.2571662,0.19030717,-0.48155576,-0.91225255,0.6699539,0.72177297,0.42091823,0.037526384,-1.3551944,0.89377284
0035.wav,B,maj/5,1.7492801,0.39498687,0.216344,0.5444121,-0.13610055,-1.3142626,0.95019954,1.118496,0.823453,-0.10234211,-1.5546494,1.0483857
0036.wav,C,maj,1.217466,0.2261275,0.62537736,0.37397152,0.19104807,-0.18592168,0.6395353,-0.045147832,-0.33816677,1.2987595,0.8200629,-0.8803313
0037.wav,C,maj/3,-0.35329914,1.5056435,0.8072373,0.19471705,-0.5146933,0.67088,-0.6579635,-0.3630521,0.15545537,1.5926353,1.3187147,-0.027147122
0038.wav,C,maj/5,0.89495677,-0.011734404,1.0780869,0.53557247,0.4156872,0.24839304,0.91382277,0.36400482,-0.08392756,1.3104862,0.29981008,-0.7326617
0039.wav,C#,maj,0.66153204,0.049139075,0.36130303,-0.39452624,-0.67583334,-0.029770315,0.3400525,-0.82736605,-0.6088173,-1.1312081,0.12010342,-1.4040561
0040.wav,C#,maj/3,0.51099044,-0.3717369,0.09049529,-0.3882559,-0.40065664,0.32720745,-0.17000417,-0.03386609,-0.3742963,-0.38516372,1.3729192,-0.004669763
0041.wav,C#,maj/5,0.6267749,0.045805797,0.51938087,-0.45123935,-0.8652169,0.17237563,0.2295409,-0.4350168,-0.47434866,-0.7007213,0.9698205,-0.8548368
0042.wav,D,maj,-0.6322452,-0.6347159,-0.3222919,-0.4892969,-1.2802844,-0.13389277,0.90936637,0.21444581,0.14041747,-0.751873,-1.3334682,0.21169874
0043.wav,D,maj/3,-0.5113101,-0.17180032,-0.3894998,-0.63807684,-1.1412225,-0.15057495,0.5416892,-0.12620775,-0.34649813,-0.6548053,-1.1869994,-0.10539875
0044.wav,D,maj/5,-1.8499323,-0.24003112,-0.9617519,0.71428144,-0.8092287,-0.95680684,-0.26523554,-0.19938008,0.64478,0.4269277,0.6490263,-0.7117631
0045.wav,D#,maj,-0.15952434,0.2095158,-0.06792724,0.26677585,0.4520846,0.1640896,-0.264606,0.07347429,0.34430504,1.0638684,-0.21989527,0.2476972
0046.wav,D#,maj/3,-0.6474425,0.60871804,-0.57869965,0.22844964,0.22612159,0.5520668,-0.77235305,-0.2636337,0.6377021,1.742726,0.44209638,0.88373244
0047.wav,D#,maj/5,-0.878894,0.16182183,-0.6868571,-0.4599409,-0.6589197,0.73626804,-0.6004406,-0.5252834,0.8197599,1.5968884,0.13554461,1.0839684
0048.wav,E,maj,-0.9327402,0.36547035,0.27047548,0.69368726,-1.0152528,-0.5154295,-0.92874265,0.36552382,0.4971578,0.71492505,1.7408226,0.18707985
0049.wav,E,maj/3,-1.0399559,1.0424507,0.40480042,-0.26522416,-0.6525291,-1.1869248,0.62050927,-0.55348754,0.14756937,0.12792426,0.4724835,-1.5824057
0050.wav,E,maj/5,-0.52434015,0.9198939,-0.38124934,0.027487546,0.087910935,-0.799051,0.6433672,0.26627204,0.26378477,0.92510927,0.23883054,0.06649531
0051.wav,F,maj,1.447903,-0.11633403,-0.013045028,-1.4619205,-0.91947013,0.73660034,0.12957764,-1.4308633,-0.32504243,0.36363333,0.5232786,-0.81441927
0052.wav,F,maj/3,1.0211424,-0.7933837,0.053020343,-1.8428302,-0.49312854,1.0248126,0.4807201,-0.9304911,0.20100866,0.9464369,0.31133568,0.29747596
0053.wav,F,maj/5,1.5622222,-1.2433766,0.43050152,0.41909426,-0.20551284,-0.38901752,0.6245763,0.30651852,0.83540505,0.95998406,-0.07710132,-0.94651294
0054.wav,F#,maj,0.7492859,0.4596444,0.31473333,-0.12992921,-0.622902,0.2414699,-0.09030555,-0.12749946,-1.399231,-0.52606106,-0.19693908,-0.54233104
0055.wav,F#,maj/3,-0.15367903,0.8186365,0.32278574,1.2618482,0.19144763,-0.45929182,0.54115695,-0.08422957,-0.4538046,-0.85786223,-1.3498846,-0.91551614
0056.wav,F#,maj/5,0.16025732,0.69633245,1.2638853,0.5628074,-0.49982393,-0.19906892,0.30898684,0.5812886,-1.449094,-1.0670493,-0.41018936,-0.55749166
0057.wav,G,maj,1.7841243,1.3999423,1.6858735,0.5612018,1.8845482,0.73971766,0.76502514,0.097026184,-0.598304,-0.2260465,-1.6895292,0.40081885
0058.wav,G,maj/3,1.8554915,0.59572953,0.84109604,-0.5676531,1.3250092,0.18273605,0.99793416,0.13964064,0.5432356,-0.13549945,-1.5985162,1.8856449
0059.wav,G,maj/5,0.34155536,-0.3038907,0.91753846,-0.024293274,0.35484314,-0.34554255,0.25381154,-0.63925725,0.35079783,-0.7870761,-1.4740659,-0.81780267
0060.wav,G#,maj,1.0236202,-0.7636651,0.9349806,-0.26503503,-0.24693601,-0.42277873,-0.36636853,0.507175,0.11325306,-0.0348187,0.0790835,-0.70660037
0061.wav,G#,maj/3,0.36839333,-1.1853987,0.526896,-0.12970974,-0.5111657,-0.47369468,-0.19617672,0.45140252,0.5514154,0.7191128,0.38079837,-0.81083745
0062.wav,G#,maj/5,-0.93519485,-0.5019005,0.9026739,0.098779306,-1.5252314,-0.1960033,0.13509373,0.6803583,1.7223227,0.93961936,0.4939972,0.8207811
0063.wav,A,maj,-1.2669069,-0.13241026,-0.38584143,0.54090935,-0.5017563,-0.8251554,-0.37820315,0.48372307,0.10006462,-0.7361577,0.043459296,-1.1003658
0064.wav,A,maj/3,-0.51613665,0.74867004,-0.056844294,0.7325213,-0.593086,-0.7747862,-0.2921918,0.027137298,-0.24487059,0.13945201,1.2296996,-0.63493353
0065.wav,A,maj/5,-1.1512994,0.5577725,-0.3733178,0.4950608,-0.65191025,-0.7113469,-0.50405544,-0.38797417,0.21610376,0.299444,0.88647366,-0.8383161
