file_name,label,instrument,type_of_sound,root_note,chord_type
0000.wav,C:maj,non_guitar,Jazz_Organ,C,maj
0001.wav,C:maj/3,non_guitar,Jazz_Organ,C,maj/3
0002.wav,C:maj/5,non_guitar,Jazz_Organ,C,maj/5
0003.wav,C#:maj,non_guitar,Jazz_Organ,C#,maj
0004.wav,C#:maj/3,non_guitar,Jazz_Organ,C#,maj/3
0005.wav,C#:maj/5,non_guitar,Jazz_Organ,C#,maj/5
0006.wav,D:maj,non_guitar,Jazz_Organ,D,maj
0007.wav,D:maj/3,non_guitar,Jazz_Organ,D,maj/3
0008.wav,D:maj/5,non_guitar,Jazz_Organ,D,maj/5
0009.wav,D#:maj,non_guitar,Jazz_Organ,D#,maj
0010.wav,D#:maj/3,non_guitar,Jazz_Organ,D#,maj/3
0011.wav,D#:maj/5,non_guitar,Jazz_Organ,D#,maj/5
0012.wav,E:maj,non_guitar,Jazz_Organ,E,maj
0013.wav,E:maj/3,non_guitar,Jazz_Organ,E,maj/3
0014.wav,E:maj/5,non_guitar,Jazz_Organ,E,maj/5
0015.wav,F:maj,non_guitar,Jazz_Organ,F,maj
0016.wav,F:maj/3,non_guitar,Jazz_Organ,F,maj/3
0017.wav,F:maj/5,non_guitar,Jazz_Organ,F,maj/5
0018.wav,F#:maj,non_guitar,Jazz_Organ,F#,maj
0019.wav,F#:maj/3,non_guitar,Jazz_Organ,F#,maj/3
0020.wav,F#:maj/5,non_guitar,Jazz_Organ,F#,maj/5
0021.wav,G:maj,non_guitar,Jazz_Organ,G,maj
0022.wav,G:maj/3,non_guitar,Jazz_Organ,G,maj/3
0023.wav,G:maj/5,non_guitar,Jazz_Organ,G,maj/5
0024.wav,G#:maj,non_guitar,Jazz_Organ,G#,maj
0025.wav,G#:maj/3,non_guitar,Jazz_Organ,G#,maj/3
0026.wav,G#:maj/5,non_guitar,Jazz_Organ,G#,maj/5
0027.wav,A:maj,non_guitar,Jazz_Organ,A,maj
0028.wav,A:maj/3,non_guitar,Jazz_Organ,A,maj/3
0029.wav,A:maj/5,non_guitar,Jazz_Organ,A,maj/5
0030.wav,A#:maj,non_guitar,Jazz_Organ,A#,maj
0031.wav,A#:maj/3,non_guitar,Jazz_Organ,A#,maj/3
0032.wav,A#:maj/5,non_guitar,Jazz_Organ,A#,maj/5
0033.wav,B:maj,non_guitar,Jazz_Organ,B,maj
0034.wav,B:maj/3,non_guitar,Jazz_Organ,B,maj/3
0035.wav,B:maj/5,non_guitar,Jazz_Organ,B,maj/5
0036.wav,C:maj,non_guitar,Jazz_Organ,C,maj
0037.wav,C:maj/3,non_guitar,Jazz_Organ,C,maj/3
0038.wav,C:maj/5,non_guitar,Jazz_Organ,C,maj/5
0039.wav,C#:maj,non_guitar,Jazz_Organ,C#,maj
0040.wav,C#:maj/3,non_guitar,Jazz_Organ,C#,maj/3
0041.wav,C#:maj/5,non_guitar,Jazz_Organ,C#,maj/5
0042.wav,D:maj,non_guitar,Jazz_Organ,D,maj
0043.wav,D:maj/3,non_guitar,Jazz_Organ,D,maj/3
0044.wav,D:maj/5,non_guitar,Jazz_Organ,D,maj/5
