file_name,root_note,chord_type,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11
0000.wav,C,maj,0.12915179,1.273247,1.0977515,-0.7347839,-0.04608988,0.82972676,0.6916088,-0.67283964,-0.17648086,-0.25816113,-0.33787385,-1.3875726
0001.wav,C,maj/3,-0.1827035,0.8422196,1.3956021,-0.41783556,-0.7597861,0.4350474,0.7694628,-1.0909142,-0.44510105,0.42535943,-0.29321352,-1.1599996
0002.wav,C,maj/5,0.31479672,0.2000549,0.97493005,-1.3226794,0.9374926,1.1028502,1.4255769,-1.1650021,1.5665885,-0.38526505,-0.6972458,-1.3355412
0003.wav,C#,maj,1.6467133,-0.90024316,-0.7390834,-0.24119505,1.372749,0.53559166,0.7502403,1.2772961,1.448275,-0.5571735,-0.28971586,-0.11415567
0004.wav,C#,maj/3,1.2658688,-1.5244355,-0.25147682,0.58488166,0.36682242,1.072888,0.45939338,0.20333792,0.123134494,0.6606351,-0.14868493,0.5443495
0005.wav,C#,maj/5,1.9059912,-1.632173,-0.032881662,0.4080512,1.6880381,0.21962443,0.4215777,1.1189367,1.44755,-0.37360495,-0.41002285,0.22768182
0006.wav,D,maj,-0.5470864,-0.95314574,-0.2883463,-0.46217358,0.034160472,0.057633415,-0.89290845,0.3904351,0.8177134,0.18447408,0.23554789,0.1539925
0007.wav,D,maj/3,-0.13159183,-1.1870453,-0.7974024,-1.3011637,0.124517836,0.24431075,-0.8875927,-0.031347528,1.1617756,-0.24946068,0.25900817,-0.1912989
0008.wav,D,maj/5,-0.45852345,-0.38581526,-0.8570652,-0.44534856,0.22071478,0.12769735,-0.7824469,0.8290695,0.8847605,-0.43005198,0.13327865,-0.31252387
0009.wav,D#,maj,-1.218696,0.76060593,0.6258197,-0.23745579,-0.47244278,0.13392545,0.34794348,0.6131172,-0.7209226,0.10820414,0.3172099,0.4283835
0010.wav,D#,maj/3,-1.4204224,0.5121189,-0.07203454,-1.2373371,-0.66684926,-0.2290542,0.30907297,0.06535466,-0.7928184,-0.4190051,-0.13279721,0.9052698
0011.wav,D#,maj/5,-0.79085314,-1.2400724,0.08770211,-3.1617053,-0.76799953,-1.5425781,0.85067296,-0.9889991,-0.13783419,-1.2788844,-1.7942165,3.2092655
0012.wav,E,maj,0.38823345,-0.5155552,1.2978965,-0.7341276,-1.6322126,-2.2281053,1.4139733,0.39136553,0.5599426,-0.19709362,-0.869504,-1.0303702
0013.wav,E,maj/3,1.1449225,0.022290125,1.0394773,-0.47341046,-0.49543652,-1.4360588,1.415409,0.8202741,0.5030725,0.039372012,-0.4330615,-1.3403358
0014.wav,E,maj/5,0.103346646,0.9207132,1.9931564,-0.50172746,-1.2183802,-1.9350362,0.8704051,0.055964306,-0.11311212,0.033838883,-0.3986024,-1.5451579
0015.wav,F,maj,1.1319047,-0.99909174,0.3385815,-0.6168995,-0.26508963,1.1734868,0.7123952,0.31135225,1.3857386,-0.09702641,-0.046713725,0.05319705
