file_name,root_note,chord_type,0,1,2,3,4,5,6,7,8,9,10,11
0000.wav,3,maj,0.43743134,0.24923152,0.4908823,0.42833567,0.7132476,0.21766236,0.34287816,1.0,0.34246254,0.17010465,0.252625,0.5374753
0001.wav,3,maj/3,0.81026155,0.33727738,0.57540596,0.52568793,0.97867256,0.3820064,0.36808062,1.0,0.44798243,0.26491502,0.32286498,0.68600506
0002.wav,3,maj/5,0.86353785,0.37205267,0.63707256,0.34624255,0.757553,0.3192889,0.31993806,1.0,0.39692461,0.21423014,0.19140582,0.38747117
0003.wav,4,maj,0.4961803,0.4223018,0.2659718,0.31624642,0.2086917,0.61902314,0.3958649,0.3422039,1.0,0.42421344,0.2406285,0.25038734
0004.wav,4,maj/3,0.8744291,0.79224956,0.32631394,0.3514798,0.38093016,0.8658334,0.35387248,0.5022993,1.0,0.29039058,0.22969745,0.3774128
0005.wav,4,maj/5,0.54668015,0.9170282,0.3633416,0.33530164,0.27626172,0.6943144,0.33755475,0.30942568,1.0,0.49264523,0.26701733,0.28638628
0006.wav,5,maj,0.35183617,0.6957415,0.602786,0.37033084,0.59239036,0.57374656,0.94471467,0.30485588,0.45029327,1.0,0.53067553,0.33677188
0007.wav,5,maj/3,0.33477893,0.6132796,0.70564073,0.27620485,0.46311742,0.42230007,0.996748,0.39371708,0.38673028,1.0,0.37721792,0.24814254
0008.wav,5,maj/5,0.20487867,0.5039712,0.7895644,0.49453744,0.49396005,0.50215816,0.71543944,0.35819805,0.51448315,1.0,0.31593776,0.16896029
0009.wav,6,maj,0.26903042,0.33587146,0.6799319,0.7264769,0.42305228,0.5144203,0.39456636,1.0,0.4369861,0.33992684,0.9691909,0.51297945
0010.wav,6,maj/3,0.17503692,0.2800017,0.7090045,0.86586964,0.40763426,0.57148623,0.57447773,1.0,0.38215184,0.34664866,0.9672265,0.39167333
0011.wav,6,maj/5,0.12738898,0.20131372,0.4969184,0.80945456,0.3468486,0.5846673,0.39343724,0.68975616,0.4551684,0.5091918,1.0,0.28486863
0012.wav,7,maj,0.3047265,0.14215964,0.20444241,0.51807976,0.9821665,0.60703444,0.5608086,0.48407072,1.0,0.47325748,0.43684033,0.9675865
0013.wav,7,maj/3,0.3686623,0.18631373,0.23402405,0.45071974,0.67311794,0.31280792,0.35188934,0.36722034,0.96744394,0.381064,0.3283793,1.0
0014.wav,7,maj/5,0.39119115,0.26606247,0.35304564,0.75539535,0.8677638,0.42539853,0.5080019,0.49715582,0.6269085,0.2425067,0.39191937,1.0
0015.wav,8,maj,1.0,0.41725913,0.19569941,0.18126613,0.44384965,0.60370344,0.3274109,0.37243053,0.40679133,0.63629645,0.18984489,0.27690062
0016.wav,8,maj/3,1.0,0.53016543,0.27206096,0.23919812,0.46410045,0.8018058,0.47307235,0.35191637,0.26952353,0.876224,0.45541748,0.308412
0017.wav,8,maj/5,1.0,0.36985838,0.2103134,0.2559416,0.6247533,0.8485726,0.42343602,0.5305336,0.41372773,0.6469777,0.32881945,0.37143645
0018.wav,9,maj,0.46648648,1.0,0.47272792,0.28778654,0.31970263,0.6635587,0.9368244,0.39790198,0.3645159,0.35029525,0.70223796,0.39093247
0019.wav,9,maj/3,0.30225414,1.0,0.49578154,0.2823308,0.3104721,0.49632862,0.8383816,0.4946464,0.5038591,0.4343186,0.89649653,0.41390675
0020.wav,9,maj/5,0.34951973,1.0,0.40979758,0.20090128,0.22288401,0.45021504,0.69653773,0.3478972,0.42506266,0.33215806,0.5569577,0.26071882
0021.wav,10,maj,0.43363696,0.46514922,0.9553076,0.35428604,0.1935728,0.286383,0.5987137,1.0,0.530121,0.5202535,0.44289196,0.86847323
0022.wav,10,maj/3,0.38554606,0.18340835,1.0,0.49561915,0.19852825,0.20568545,0.37067965,0.7459717,0.52681625,0.4121812,0.36980456,0.9826
0023.wav,10,maj/5,0.30258065,0.42276934,1.0,0.29532862,0.12445959,0.15423019,0.44223228,0.7783402,0.36643583,0.41474816,0.35238168,0.55404294
0024.wav,11,maj,0.89356077,0.3951132,0.52577466,0.85947895,0.32549325,0.2535236,0.38218138,0.7487538,1.0,0.50345576,0.44373292,0.58909506
0025.wav,11,maj/3,1.0,0.41784033,0.37176237,0.92305607,0.32584253,0.17662457,0.24444045,0.434207,0.70620376,0.31923905,0.3144399,0.34752908
0026.wav,11,maj/5,0.6077731,0.29679367,0.29492286,1.0,0.4530568,0.21146934,0.25269842,0.50890386,0.7400708,0.23493919,0.19885829,0.18855754
0027.wav,0,maj,0.27778885,0.67207927,0.32600546,0.37936002,1.0,0.3742817,0.2631412,0.33375287,0.5752605,0.8660623,0.3472308,0.34478104
