,file_name,label,instrument,type_of_sound
0,0000.wav,C:maj,non_guitar,Jazz_Organ
1,0001.wav,C:maj/3,non_guitar,Jazz_Organ
2,0002.wav,C:maj/5,non_guitar,Jazz_Organ
3,0003.wav,C#:maj,non_guitar,Jazz_Organ
4,0004.wav,C#:maj/3,non_guitar,Jazz_Organ
5,0005.wav,C#:maj/5,non_guitar,Jazz_Organ
6,0006.wav,D:maj,non_guitar,Jazz_Organ
7,0007.wav,D:maj/3,non_guitar,Jazz_Organ
8,0008.wav,D:maj/5,non_guitar,Jazz_Organ
9,0009.wav,D#:maj,non_guitar,Jazz_Organ
10,0010.wav,D#:maj/3,non_guitar,Jazz_Organ
11,0011.wav,D#:maj/5,non_guitar,Jazz_Organ
12,0012.wav,E:maj,non_guitar,Jazz_Organ
13,0013.wav,E:maj/3,non_guitar,Jazz_Organ
14,0014.wav,E:maj/5,non_guitar,Jazz_Organ
15,0015.wav,F:maj,non_guitar,Jazz_Organ
16,0016.wav,F:maj/3,non_guitar,Jazz_Organ
17,0017.wav,F:maj/5,non_guitar,Jazz_Organ
18,0018.wav,F#:maj,non_guitar,Jazz_Organ
19,0019.wav,F#:maj/3,non_guitar,Jazz_Organ
20,0020.wav,F#:maj/5,non_guitar,Jazz_Organ
21,0021.wav,G:maj,non_guitar,Jazz_Organ
22,0022.wav,G:maj/3,non_guitar,Jazz_Organ
23,0023.wav,G:maj/5,non_guitar,Jazz_Organ
24,0024.wav,G#:maj,non_guitar,Jazz_Organ
25,0025.wav,G#:maj/3,non_guitar,Jazz_Organ
26,0026.wav,G#:maj/5,non_guitar,Jazz_Organ
27,0027.wav,A:maj,non_guitar,Jazz_Organ
28,0028.wav,A:maj/3,non_guitar,Jazz_Organ
29,0029.wav,A:maj/5,non_guitar,Jazz_Organ
30,0030.wav,A#:maj,non_guitar,Jazz_Organ
31,0031.wav,A#:maj/3,non_guitar,Jazz_Organ
32,0032.wav,A#:maj/5,non_guitar,Jazz_Organ
33,0033.wav,B:maj,non_guitar,Jazz_Organ
34,0034.wav,B:maj/3,non_guitar,Jazz_Organ
35,0035.wav,B:maj/5,non_guitar,Jazz_Organ
36,0036.wav,C:maj,non_guitar,Jazz_Organ
37,0037.wav,C:maj/3,non_guitar,Jazz_Organ
38,0038.wav,C:maj/5,non_guitar,Jazz_Organ
39,0039.wav,C#:maj,non_guitar,Jazz_Organ
40,0040.wav,C#:maj/3,non_guitar,Jazz_Organ
41,0041.wav,C#:maj/5,non_guitar,Jazz_Organ
42,0042.wav,D:maj,non_guitar,Jazz_Organ
43,0043.wav,D:maj/3,non_guitar,Jazz_Organ
44,0044.wav,D:maj/5,non_guitar,Jazz_Organ
45,0045.wav,D#:maj,non_guitar,Jazz_Organ
46,0046.wav,D#:maj/3,non_guitar,Jazz_Organ
47,0047.wav,D#:maj/5,non_guitar,Jazz_Organ
48,0048.wav,E:maj,non_guitar,Jazz_Organ
49,0049.wav,E:maj/3,non_guitar,Jazz_Organ
50,0050.wav,E:maj/5,non_guitar,Jazz_Organ
51,0051.wav,F:maj,non_guitar,Jazz_Organ
52,0052.wav,F:maj/3,non_guitar,Jazz_Organ
53,0053.wav,F:maj/5,non_guitar,Jazz_Organ
54,0054.wav,F#:maj,non_guitar,Jazz_Organ
55,0055.wav,F#:maj/3,non_guitar,Jazz_Organ
56,0056.wav,F#:maj/5,non_guitar,Jazz_Organ
57,0057.wav,G:maj,non_guitar,Jazz_Organ
58,0058.wav,G:maj/3,non_guitar,Jazz_Organ
59,0059.wav,G:maj/5,non_guitar,Jazz_Organ
60,0060.wav,G#:maj,non_guitar,Jazz_Organ
61,0061.wav,G#:maj/3,non_guitar,Jazz_Organ
62,0062.wav,G#:maj/5,non_guitar,Jazz_Organ
63,0063.wav,A:maj,non_guitar,Jazz_Organ
64,0064.wav,A:maj/3,non_guitar,Jazz_Organ
65,0065.wav,A:maj/5,non_guitar,Jazz_Organ
66,0066.wav,A#:maj,non_guitar,Jazz_Organ
67,0067.wav,A#:maj/3,non_guitar,Jazz_Organ
68,0068.wav,A#:maj/5,non_guitar,Jazz_Organ
69,0069.wav,B:maj,non_guitar,Jazz_Organ
70,0070.wav,B:maj/3,non_guitar,Jazz_Organ
71,0071.wav,B:maj/5,non_guitar,Jazz_Organ
72,0072.wav,C:min,non_guitar,Jazz_Organ
73,0073.wav,C:min/3,non_guitar,Jazz_Organ
74,0074.wav,C:min/5,non_guitar,Jazz_Organ
75,0075.wav,C#:min,non_guitar,Jazz_Organ
76,0076.wav,C#:min/3,non_guitar,Jazz_Organ
77,0077.wav,C#:min/5,non_guitar,Jazz_Organ
78,0078.wav,D:min,non_guitar,Jazz_Organ
79,0079.wav,D:min/3,non_guitar,Jazz_Organ
80,0080.wav,D:min/5,non_guitar,Jazz_Organ
81,0081.wav,D#:min,non_guitar,Jazz_Organ
82,0082.wav,D#:min/3,non_guitar,Jazz_Organ
83,0083.wav,D#:min/5,non_guitar,Jazz_Organ
84,0084.wav,E:min,non_guitar,Jazz_Organ
85,0085.wav,E:min/3,non_guitar,Jazz_Organ
86,0086.wav,E:min/5,non_guitar,Jazz_Organ
87,0087.wav,F:min,non_guitar,Jazz_Organ
88,0088.wav,F:min/3,non_guitar,Jazz_Organ
89,0089.wav,F:min/5,non_guitar,Jazz_Organ
90,0090.wav,F#:min,non_guitar,Jazz_Organ
91,0091.wav,F#:min/3,non_guitar,Jazz_Organ
92,0092.wav,F#:min/5,non_guitar,Jazz_Organ
93,0093.wav,G:min,non_guitar,Jazz_Organ
94,0094.wav,G:min/3,non_guitar,Jazz_Organ
95,0095.wav,G:min/5,non_guitar,Jazz_Organ
96,0096.wav,G#:min,non_guitar,Jazz_Organ
97,0097.wav,G#:min/3,non_guitar,Jazz_Organ
98,0098.wav,G#:min/5,non_guitar,Jazz_Organ
99,0099.wav,A:min,non_guitar,Jazz_Organ
100,0100.wav,A:min/3,non_guitar,Jazz_Organ
101,0101.wav,A:min/5,non_guitar,Jazz_Organ
102,0102.wav,A#:min,non_guitar,Jazz_Organ
103,0103.wav,A#:min/3,non_guitar,Jazz_Organ
104,0104.wav,A#:min/5,non_guitar,Jazz_Organ
105,0105.wav,B:min,non_guitar,Jazz_Organ
106,0106.wav,B:min/3,non_guitar,Jazz_Organ
107,0107.wav,B:min/5,non_guitar,Jazz_Organ
108,0108.wav,C:min,non_guitar,Jazz_Organ
109,0109.wav,C:min/3,non_guitar,Jazz_Organ
110,0110.wav,C:min/5,non_guitar,Jazz_Organ
111,0111.wav,C#:min,non_guitar,Jazz_Organ
112,0112.wav,C#:min/3,non_guitar,Jazz_Organ
113,0113.wav,C#:min/5,non_guitar,Jazz_Organ
114,0114.wav,D:min,non_guitar,Jazz_Organ
115,0115.wav,D:min/3,non_guitar,Jazz_Organ
116,0116.wav,D:min/5,non_guitar,Jazz_Organ
117,0117.wav,D#:min,non_guitar,Jazz_Organ
118,0118.wav,D#:min/3,non_guitar,Jazz_Organ
119,0119.wav,D#:min/5,non_guitar,Jazz_Organ
120,0120.wav,E:min,non_guitar,Jazz_Organ
121,0121.wav,E:min/3,non_guitar,Jazz_Organ
122,0122.wav,E:min/5,non_guitar,Jazz_Organ
123,0123.wav,F:min,non_guitar,Jazz_Organ
124,0124.wav,F:min/3,non_guitar,Jazz_Organ
125,0125.wav,F:min/5,non_guitar,Jazz_Organ
126,0126.wav,F#:min,non_guitar,Jazz_Organ
127,0127.wav,F#:min/3,non_guitar,Jazz_Organ
128,0128.wav,F#:min/5,non_guitar,Jazz_Organ
129,0129.wav,G:min,non_guitar,Jazz_Organ
