0000.wav,C:maj
0001.wav,C:maj/3
0002.wav,C:maj/5
0003.wav,C#:maj
0004.wav,C#:maj/3
0005.wav,C#:maj/5
0006.wav,D:maj
0007.wav,D:maj/3
0008.wav,D:maj/5
0009.wav,D#:maj
0010.wav,D#:maj/3
0011.wav,D#:maj/5
0012.wav,E:maj
0013.wav,E:maj/3
0014.wav,E:maj/5
0015.wav,F:maj
0016.wav,F:maj/3
0017.wav,F:maj/5
0018.wav,F#:maj
0019.wav,F#:maj/3
0020.wav,F#:maj/5
0021.wav,G:maj
0022.wav,G:maj/3
0023.wav,G:maj/5
0024.wav,G#:maj
0025.wav,G#:maj/3
0026.wav,G#:maj/5
0027.wav,A:maj
0028.wav,A:maj/3
0029.wav,A:maj/5
0030.wav,A#:maj
0031.wav,A#:maj/3
0032.wav,A#:maj/5
0033.wav,B:maj
0034.wav,B:maj/3
0035.wav,B:maj/5
0036.wav,C:maj
0037.wav,C:maj/3
0038.wav,C:maj/5
0039.wav,C#:maj
0040.wav,C#:maj/3
0041.wav,C#:maj/5
0042.wav,D:maj
0043.wav,D:maj/3
0044.wav,D:maj/5
0045.wav,D#:maj
0046.wav,D#:maj/3
0047.wav,D#:maj/5
0048.wav,E:maj
0049.wav,E:maj/3
0050.wav,E:maj/5
0051.wav,F:maj
0052.wav,F:maj/3
0053.wav,F:maj/5
0054.wav,F#:maj
0055.wav,F#:maj/3
0056.wav,F#:maj/5
0057.wav,G:maj
0058.wav,G:maj/3
0059.wav,G:maj/5
0060.wav,G#:maj
0061.wav,G#:maj/3
0062.wav,G#:maj/5
0063.wav,A:maj
0064.wav,A:maj/3
0065.wav,A:maj/5
0066.wav,A#:maj
0067.wav,A#:maj/3
0068.wav,A#:maj/5
0069.wav,B:maj
0070.wav,B:maj/3
0071.wav,B:maj/5
0072.wav,C:min
0073.wav,C:min/3
0074.wav,C:min/5
0075.wav,C#:min
0076.wav,C#:min/3
0077.wav,C#:min/5
0078.wav,D:min
0079.wav,D:min/3
0080.wav,D:min/5
0081.wav,D#:min
0082.wav,D#:min/3
0083.wav,D#:min/5
0084.wav,E:min
0085.wav,E:min/3
0086.wav,E:min/5
