file_name,root_note,chord_type,instrument,0:C,1:C#,2:D,3:D#,4:E,5:F,6:F#,7:G,8:G#,9:A,10:A#,11:B
0000.wav,3,maj,non_guitar,0.904923,0.4398673,0.8172096,0.8267878,1.50597,0.48736066,0.65353477,2.0,0.78777236,0.45348868,0.55726534,1.0577536
0001.wav,3,maj/3,non_guitar,1.6517758,0.6860993,0.95392,0.92192984,1.8668052,0.7529041,0.7708566,2.0,0.7530966,0.4401064,0.48154235,1.1232809
0002.wav,3,maj/5,non_guitar,1.7701682,0.6261766,1.0550392,0.71275896,1.4523592,0.5825397,0.6273421,2.0,0.7860852,0.45420018,0.46564275,0.86736023
0003.wav,4,maj,non_guitar,0.9013666,0.901221,0.50261724,0.52798724,0.466196,1.3841572,0.7371292,0.68431073,2.0,0.8083938,0.42222685,0.44017124
0004.wav,4,maj/3,non_guitar,1.4220532,1.4964783,0.6301332,0.6197506,0.72147334,1.8278862,0.7115764,0.94909674,2.0,0.6106889,0.4562219,0.64709747
0005.wav,4,maj/5,non_guitar,0.92317677,1.6240267,0.6419565,0.6736475,0.5921629,1.5613351,0.6375462,0.5593946,2.0,0.9563987,0.50441194,0.52228177
0006.wav,5,maj,non_guitar,0.6246598,1.105669,1.2053002,0.6230696,0.9705212,0.9220522,1.7968769,0.7509885,0.78538066,2.0,1.1025949,0.6147498
0007.wav,5,maj/3,non_guitar,0.5644562,1.1153225,1.6481037,0.7102196,0.91029847,0.9265121,1.995942,0.71109635,0.7616801,1.9183404,0.6897918,0.41157863
0008.wav,5,maj/5,non_guitar,0.33601302,0.93069553,1.5698633,0.74803704,0.78145206,0.90817714,1.3852493,0.6011673,0.9646503,2.0,0.5469792,0.30162102
0009.wav,6,maj,non_guitar,0.40867317,0.47555226,1.0594431,1.3931407,0.7492863,0.86156034,0.7708069,1.8378762,0.77803093,0.7367356,1.9697325,0.84797
0010.wav,6,maj/3,non_guitar,0.35501137,0.4902497,1.0801834,1.5557756,0.8182808,1.0647993,0.99195266,2.0,0.9034375,0.7380421,1.8722719,0.7447258
0011.wav,6,maj/5,non_guitar,0.28565347,0.39132595,0.8467652,1.7040002,0.7176605,0.9545558,0.6531738,1.4612813,0.8841637,0.9919944,2.0,0.5862005
0012.wav,7,maj,non_guitar,0.62502134,0.31444705,0.3788839,0.9352263,1.9431742,1.018309,0.8927579,0.8416824,1.8922156,0.81661505,0.80637544,1.9673306
0013.wav,7,maj/3,non_guitar,0.7658702,0.3921622,0.425983,0.75483537,1.3915832,0.7040162,0.7301383,0.7366327,1.9662039,0.70304143,0.59069216,1.9770436
0014.wav,7,maj/5,non_guitar,0.7058693,0.45434034,0.5294031,1.061533,1.5841589,0.64182526,0.72633606,0.7073674,1.3034003,0.63075423,0.82638216,2.0
0015.wav,8,maj,non_guitar,2.0,0.7166803,0.38926315,0.39790806,0.96515167,1.3728478,0.6248592,0.5994758,0.7023922,1.3498169,0.48805326,0.67879236
0016.wav,8,maj/3,non_guitar,1.9342434,1.0153779,0.48325193,0.44876218,0.9797491,1.8021681,0.9785625,0.9288633,0.7280942,1.7544949,0.84224,0.5846994
